doc_id,afinn_score,bing_score,kaggle_score,loghran_score,nrc_score
524,-1,-0.4375,4.583333333,-0.866666667,-0.6
525,0,-0.2,0,0,0.333333333
526,-1.761904762,-0.6363636,-5,-0.80952381,-0.684210526
527,-1.8125,-0.5,2.5,-0.866666667,-0.714285714
528,1.142857143,0.75,-1.65,0,0
529,-1.625,-0.5172414,-4.716666667,-0.384615385,-0.1875
530,-1.142857143,-0.1428571,0,-0.333333333,0.157894737
531,-1.133333333,-0.0666667,0,-0.333333333,0.1
532,-0.85,0.1,-0.4,-0.263157895,0.461538462
533,-0.375,0.08,-3.333333333,-0.666666667,0
534,0,0,0,0,0
535,-2,-1,0,0,0
536,-0.526315789,-0.1,-5,-0.375,0.166666667
537,-1.588235294,-0.6551724,4.433333333,-0.866666667,-0.857142857
538,0,0.5,0,1,-0.2
539,-1.941176471,-0.9285714,0,-1,-0.75
540,1,-0.3333333,1.666666667,-1,-0.333333333
541,0,0,0,0,0
542,0.2,-0.1111111,3.3,-1,-1
543,-2,0.5,0,-1,0
544,0.666666667,0.09090909,-2.233333333,0,0.5
545,-1.142857143,-0.0526316,-3.3,-0.384615385,0.157894737
546,-2.235294118,-1,-2.777777778,-1,-0.857142857
547,-2.125,-0.7037037,1.25,-1,-0.6
548,-1,0.27272727,0,-0.066666667,0.222222222
549,-2.0625,-0.6551724,0,-0.882352941,-0.555555556
550,0,0,0,0,0
551,0.4,0.14285714,-1.92,1,-0.2
552,-0.5,-0.6,0,-1,-0.333333333
553,-0.166666667,0.2,-2.766666667,-0.6,1
554,-0.622222222,0.16883117,3.066666667,-0.333333333,0.255813953
555,-1.210526316,-0.2380952,-3.125,-0.428571429,0.142857143
556,0,0.14285714,-1.7,-1,1
557,-1,-0.0434783,3.3,-0.384615385,0.130434783
558,0,0,0,0,0
559,-2,-0.9285714,-5,-1,-0.555555556
560,-1,0,0,0,-0.333333333
561,-1.34375,-0.627907,0,-0.703703704,-0.25
562,0,0,0,0,0
563,-1.714285714,-0.6444444,-2.233333333,-0.757575758,-0.166666667
564,0,1,0,0,0
565,0,0,0,0,0
566,-0.090909091,0.11111111,0,-0.428571429,0.666666667
567,-2.125,-0.7857143,1.7,-0.875,-0.733333333
568,-0.666666667,-0.6666667,-5,-1,-0.6
569,-1.941176471,-0.9259259,0,-1,-0.857142857
570,0.333333333,-0.5555556,0,-1,-0.6
571,-1.486486486,-0.3939394,-4.166666667,-0.6875,-0.25
572,-0.6,-0.1428571,-5,-1,-0.333333333
573,1,-1,0,-1,0
574,-2.133333333,-1,-2.5,-1,-0.714285714
575,-0.52173913,0.07317073,-3.75,-0.333333333,0.36
576,0,0,0,0,0
577,-0.6875,0.05882353,5,-0.066666667,0.2
578,-1.588235294,-0.5862069,4.433333333,-0.866666667,-0.846153846
579,1,0,0,0,1
580,0,1,0,0,0
581,0,0,0,0,0
582,0,0.33333333,0,1,1
583,-0.933333333,-0.1111111,-5,-0.428571429,0.157894737
584,-2,0.33333333,-5,0,1
585,-1.142857143,-0.1764706,-5,-0.333333333,0.222222222
586,1,-1,0,-1,0
587,-2.121212121,-1,5,-1,-0.793103448
588,1,-0.6,0,-1,0.333333333
589,2.5,0.11111111,0,-1,0
590,-0.866666667,0.05882353,2.2,-0.230769231,0.333333333
591,1,0,5,0,0
592,-2.032258065,-0.8039216,0,-1,-0.655172414
593,-1.655172414,-0.6585366,0,-0.692307692,-0.2
594,1,-0.2,5,-1,-1
595,-1.405405405,-0.28125,-0.4,-0.636363636,-0.105263158
596,-1,0,2.5,-1,0
597,-0.333333333,-0.3333333,0,-1,0
