country,date,avg_tone
WST,2017-09-16,-4.912043576
WST,2017-09-17,-6.378132118
WST,2017-09-18,-4.489500362
WST,2017-09-19,-2.710857039
WST,2017-09-20,-5.594405594
WST,2017-09-21,-8.771929825
WST,2017-09-24,-6.934105904
WST,2017-09-26,-2.747252747
WST,2017-09-27,-2.395209581
WST,2017-09-29,-3.644991429
WST,2017-09-30,-4.326123128
WST,2017-10-01,-4.332755633
WST,2017-10-07,4.154589372
WST,2017-10-08,-3.571428571
WST,2017-10-09,-5.637982196
WST,2017-10-10,-1.449759501
WST,2017-10-11,-3.196347032
WST,2017-10-13,-5.023468434
WST,2017-10-14,-4.560673962
WST,2017-10-15,-4.001772421
WST,2017-10-16,-4.388984509
WST,2017-10-17,-4.17007359
WST,2017-10-23,-4.603174603
WST,2017-10-25,-8.910891089
WST,2017-10-28,2.45398773
WST,2017-10-29,-3.29980716
WST,2017-10-30,-3.030145465
WST,2017-10-31,-3.861555924
WST,2017-11-01,-2.503896109
WST,2017-11-02,-3.212354934
WST,2017-11-05,-7.768732493
WST,2017-11-06,-7.742338962
WST,2017-11-07,-3.32326284
WST,2017-11-08,-1.298954589
WST,2017-11-09,-1.305242438
WST,2017-11-10,-0.603188476
WST,2017-11-11,-1.262218286
WST,2017-11-12,-1.028571429
WST,2017-11-13,-2.183686577
WST,2017-11-14,-4.542737597
WST,2017-11-15,-2.566180443
WST,2017-11-16,-2.716823406
WST,2017-11-22,-2.261361165
WST,2017-11-23,0.062761654
WST,2017-11-24,-2.75655487
WST,2017-11-25,-3.005464481
WST,2017-11-26,-0.528169014
WST,2017-11-28,-3.57999857
WST,2017-11-29,-3.382168956
WST,2017-11-30,-2.759001007
WST,2017-12-03,-10.24096386
WST,2017-12-04,-2.567819848
WST,2017-12-05,-2.745062478
WST,2017-12-06,-1.602963422
WST,2017-12-09,-9.504132231
WST,2017-12-16,-1.342791439
WST,2017-12-21,-1.546391753
WST,2017-12-30,-1.341424465
WST,2018-01-04,-1.192319604
WST,2018-01-21,-6.177606178
WST,2018-02-16,-1.816332074
WSM,2017-04-28,-1.425661914
WSM,2017-09-05,-0.512820513
WSM,2017-09-06,-2.127659574
WSM,2017-09-07,-3.78250591
WSM,2017-09-08,0.451467269
WSM,2017-09-09,2.304493155
WSM,2017-09-13,-2.127659574
WSM,2017-09-14,-3.78250591
WSM,2017-09-23,-3.617269545
WAF,2017-12-21,-3.968253968
WAF,2017-12-22,-5.357142857
